Total of planes generated: ,1000,0
Friendly planes generated: ,253,
Enemy planes generated: ,747,
Friendly planes in range: ,253,
Enemy planes in range: ,747,
Friendly planes shot max epochs reached: ,50,
Enemy planes shot no response:,547,
Enemy planes shot max epochs reached:,17,
,,
Total of planes generated:,1000,0.1
Friendly planes generated:,257,
Enemy planes generated:,743,
Friendly planes in range:,257,
Enemy planes in range:,743,
Friendly planes shot max epochs reached:,37,
Enemy planes shot no response:,537,
Enemy planes shot max epochs reached:,13,
,,
Total of planes generated:,1000,0.2
Friendly planes generated:,248,
Enemy planes generated:,752,
Friendly planes in range:,248,
Enemy planes in range:,752,
Friendly planes shot max epochs reached:,37,
Enemy planes shot no response:,549,
Enemy planes shot max epochs reached:,12,
,,
Total of planes generated:,1000,0.3
Friendly planes generated:,244,
Enemy planes generated:,756,
Friendly planes in range:,244,
Enemy planes in range:,756,
Friendly planes shot max epochs reached:,40,
Enemy planes shot no response:,504,
Enemy planes shot max epochs reached:,16,
,,
Total of planes generated:,1000,0.4
Friendly planes generated:,233,
Enemy planes generated:,767,
Friendly planes in range:,233,
Enemy planes in range:,767,
Friendly planes shot max epochs reached:,33,
Enemy planes shot no response:,502,
Enemy planes shot max epochs reached:,18,
,,
Total of planes generated:,1000,0.5
Friendly planes generated:,253,
Enemy planes generated:,747,
Friendly planes in range:,253,
Enemy planes in range:,747,
Friendly planes shot max epochs reached:,40,
Enemy planes shot no response:,446,
Enemy planes shot max epochs reached:,12,
,,
Total of planes generated:,1000,0.6
Friendly planes generated:,249,
Enemy planes generated:,751,
Friendly planes in range:,249,
Enemy planes in range:,751,
Friendly planes shot max epochs reached:,29,
Enemy planes shot no response:,371,
Enemy planes shot max epochs reached:,20,
,,0.7
Total of planes generated:,1000,
Friendly planes generated:,248,
Enemy planes generated:,752,
Friendly planes in range:,248,
Enemy planes in range:,752,
Friendly planes shot max epochs reached:,18,
Enemy planes shot no response:,311,
Enemy planes shot max epochs reached:,34,
,,
Total of planes generated:,1000,0.8
Friendly planes generated:,237,
Enemy planes generated:,763,
Friendly planes in range:,237,
Enemy planes in range:,763,
Friendly planes shot max epochs reached:,7,
Enemy planes shot no response:,180,
Enemy planes shot max epochs reached:,35,
,,
Total of planes generated:,1000,0.9
Friendly planes generated:,266,
Enemy planes generated:,734,
Friendly planes in range:,266,
Enemy planes in range:,734,
Friendly planes shot max epochs reached:,2,
Enemy planes shot no response:,37,
Enemy planes shot max epochs reached:,24,
,,
Total of planes generated:,1000,1
Friendly planes generated:,270,
Enemy planes generated:,730,
Friendly planes in range:,270,
Enemy planes in range:,730,
Friendly planes shot max epochs reached:,0,
Enemy planes shot no response:,0,
Enemy planes shot max epochs reached:,0,
,,confidence threshold
Total of planes generated:,1000,3
Friendly planes generated:,238,
Enemy planes generated:,762,
Friendly planes in range:,238,
Enemy planes in range:,762,
Friendly planes shot max epochs reached:,16,
Enemy planes shot no response:,229,
Enemy planes shot max epochs reached:,50,
